accession,id,description,keyword,,,,
PF09683,Lactococcin_972,Bacteriocin (Lactococcin_972),membrane,,,,
PF09687,PRESAN,Plasmodium RESA N-terminal,membrane,,,,
PF09691,T2SS_PulS_OutS,Type II secretion system pilotin lipoprotein (PulS_OutS),membrane,,,,
PF09716,ETRAMP,Malarial early transcribed membrane protein (ETRAMP),membrane,,,,
PF09719,C_GCAxxG_C_C,Putative redox-active protein (C_GCAxxG_C_C),membrane,,,,
PF09721,Exosortase_EpsH,Transmembrane exosortase (Exosortase_EpsH),membrane,,,,
PF09731,Mitofilin,Mitochondrial inner membrane protein,membrane,,,,
PF09753,Use1,Membrane fusion protein Use1,membrane,,,,
PF09767,DUF2053,Predicted membrane protein (DUF2053),membrane,,,,
PF09772,Tmem26,Transmembrane protein 26,membrane,,,,
PF09779,Ima1_N,Ima1 N-terminal domain,membrane,,,,
PF09796,QCR10,Ubiquinol-cytochrome-c reductase complex subunit (QCR10),membrane,,,,
PF09799,Transmemb_17,Predicted membrane protein,membrane,,,,
PF09801,SYS1,Integral membrane protein S linking to the trans Golgi network,membrane,,,,
PF09803,Pet100,Pet100,membrane,,,,
PF09842,DUF2069,Predicted membrane protein (DUF2069),membrane,,,,
PF09847,12TM_1,Membrane protein of 12 TMs,membrane,,,,
PF09852,DUF2079,Predicted membrane protein (DUF2079),membrane,,,,
PF09864,MliC,Membrane-bound lysozyme-inhibitor of c-type lysozyme,membrane,,,,
PF09879,DUF2106,Predicted membrane protein (DUF2106),membrane,,,,
PF09880,DUF2107,Predicted membrane protein (DUF2107),membrane,,,,
PF09900,DUF2127,Predicted membrane protein (DUF2127),membrane,,,,
PF09928,DUF2160,Predicted small integral membrane protein (DUF2160),membrane,,,,
PF09930,DUF2162,Predicted transporter (DUF2162),membrane,,,,
PF09935,DUF2167,Protein of unknown function (DUF2167),membrane,,,,
PF09945,DUF2177,Predicted membrane protein (DUF2177),membrane,,,,
PF09946,DUF2178,Predicted membrane protein (DUF2178),membrane,,,,
PF09948,DUF2182,Predicted metal-binding integral membrane protein (DUF2182),membrane,,,,
PF09971,DUF2206,Predicted membrane protein (DUF2206),membrane,,,,
PF09973,DUF2208,Predicted membrane protein (DUF2208),membrane,,,,
PF09985,Glucodextran_C,"C-terminal binding-module, SLH-like, of glucodextranase",membrane,,,,
PF09992,NAGPA,Phosphodiester glycosidase,membrane,,,,
PF09997,DUF2238,Predicted membrane protein (DUF2238),membrane,,,,
PF10002,DUF2243,Predicted membrane protein (DUF2243),membrane,,,,
PF10003,DUF2244,Integral membrane protein (DUF2244),membrane,,,,
PF10011,DUF2254,Predicted membrane protein (DUF2254),membrane,,,,
PF10027,DUF2269,Predicted integral membrane protein (DUF2269),membrane,,,,
PF10060,DUF2298,Uncharacterized membrane protein (DUF2298),membrane,,,,
PF10063,DUF2301,Uncharacterized integral membrane protein (DUF2301),membrane,,,,
PF10080,DUF2318,Predicted membrane protein (DUF2318),membrane,,,,
PF10086,YhfC,YhfC intramembrane metalloprotease,membrane,,,,
PF10110,GPDPase_memb,Membrane domain of glycerophosphoryl diester phosphodiesterase,membrane,,,,
PF10131,PTPS_related,"6-pyruvoyl-tetrahydropterin synthase related domain, membrane protein",membrane,,,
PF10144,SMP_2,Bacterial virulence factor haemolysin,membrane,,,,
PF10149,TM231,Transmembrane protein 231,membrane,,,,
PF10160,Tmemb_40,Predicted membrane protein,membrane,,,,
PF10181,PIG-H,"GPI-GlcNAc transferase complex, PIG-H component",membrane,,,,
PF10186,Atg14,Vacuolar sorting 38 and autophagy-related subunit 14,membrane,,,,
PF10190,Tmemb_170,Putative transmembrane protein 170,membrane,,,,
PF10225,NEMP,NEMP family ,membrane,,,,
PF10242,L_HMGIC_fpl,Lipoma HMGIC fusion partner-like protein,membrane,,,,
PF10250,O-FucT,GDP-fucose protein O-fucosyltransferase,membrane,,,,
PF10251,PEN-2,Presenilin enhancer-2 subunit of gamma secretase,membrane,,,,
PF10268,Tmemb_161AB,Predicted transmembrane protein 161AB,membrane,,,,
PF10269,Tmemb_185A,Transmembrane Fragile-X-F protein ,membrane,,,,
PF10270,MMgT,Membrane magnesium transporter,membrane,,,,
PF10277,Frag1,Frag1/DRAM/Sfk1 family,membrane,,,,
PF10292,7TM_GPCR_Srab,Serpentine type 7TM GPCR receptor class ab chemoreceptor,membrane,,,,
PF10320,7TM_GPCR_Srsx,Serpentine type 7TM GPCR chemoreceptor Srsx,membrane,,,,
PF10340,Say1_Mug180,Steryl acetyl hydrolase,membrane,,,,
PF10412,TrwB_AAD_bind,Type IV secretion-system coupling protein DNA-binding domain,membrane,,,,
PF10496,Syntaxin-18_N,SNARE-complex protein Syntaxin-18 N-terminus ,membrane,,,,
PF10502,Peptidase_S26,"Signal peptidase, peptidase S26 ",membrane,,,,
PF10540,Membr_traf_MHD,Munc13 (mammalian uncoordinated) homology domain,membrane,,,,
PF10542,Vitelline_membr,Vitelline membrane cysteine-rich region,membrane,,,,
PF10555,MraY_sig1,Phospho-N-acetylmuramoyl-pentapeptide-transferase signature 1 ,membrane,,,,
PF10601,zf-LITAF-like,LITAF-like zinc ribbon domain,membrane,,,,
PF10639,TMEM234,Putative transmembrane family 234,membrane,,,,
PF10642,Tom5,Mitochondrial import receptor subunit or translocase,membrane,,,,
PF10661,EssA,"WXG100 protein secretion system (Wss), protein EssA",membrane,,,,
PF10671,TcpQ,Toxin co-regulated pilus biosynthesis protein Q,membrane,,,,
PF10688,Imp-YgjV,Bacterial inner membrane protein,membrane,,,,
PF10693,DUF2499,Protein of unknown function (DUF2499),membrane,,,,
PF10708,DUF2510,Protein of unknown function (DUF2510),membrane,,,,
PF10710,DUF2512,Protein of unknown function (DUF2512),membrane,,,,
PF10739,DUF2550,Protein of unknown function (DUF2550),membrane,,,,
PF10777,YlaC,Inner membrane protein YlaC,membrane,,,,
PF10806,SAM35,"SAM35, subunit of SAM coomplex",membrane,,,,
PF10825,DUF2752,Protein of unknown function (DUF2752),membrane,,,,
PF10854,DUF2649,Protein of unknown function (DUF2649),membrane,,,,
PF10895,DUF2715,Domain of unknown function (DUF2715),membrane,,,,
PF10943,DUF2632,Protein of unknown function (DUF2632),membrane,,,,
PF10978,DUF2785,Protein of unknown function (DUF2785),membrane,,,,
PF10997,Amj,Alternate to MurJ,membrane,,,,
PF11067,DUF2868,Protein of unknown function (DUF2868),membrane,,,,
PF11076,YbhQ,Putative inner membrane protein YbhQ,membrane,,,,
PF11089,SyrA,Exopolysaccharide production repressor,membrane,,,,
PF11113,Phage_head_chap,Head assembly gene product,membrane,,,,
PF11130,TraC_F_IV,F pilus assembly Type-IV secretion system for plasmid transfer,membrane,,,,
PF11139,SfLAP,"Sap, sulfolipid-1-addressing protein",membrane,,,,
PF11158,DUF2938,Protein of unknown function (DUF2938),membrane,,,,
PF11168,DUF2955,Protein of unknown function (DUF2955),membrane,,,,
PF11188,DUF2975,Protein of unknown function (DUF2975),membrane,,,,
PF11189,DUF2973,Protein of unknown function (DUF2973),membrane,,,,
PF11193,DUF2812,Protein of unknown function (DUF2812),membrane,,,,
PF11203,EccE,"Putative type VII ESX secretion system translocon, EccE",membrane,,,,
PF11227,DUF3025,Protein of unknown function (DUF3025),membrane,,,,
PF11239,DUF3040,Protein of unknown function (DUF3040),membrane,,,,
PF11241,DUF3043,Protein of unknown function (DUF3043),membrane,,,,
PF11254,DUF3053,Protein of unknown function (DUF3053),membrane,,,,
PF11255,DUF3054,Protein of unknown function (DUF3054),membrane,,,,
PF11259,DUF3060,Protein of unknown function (DUF3060),membrane,,,,
PF11263,Attachment_P66,Borrelia burgdorferi attachment protein P66 ,membrane,,,,
PF11292,DUF3093,Protein of unknown function (DUF3093),membrane,,,,
PF11298,DUF3099,Protein of unknown function (DUF3099),membrane,,,,
PF11299,DUF3100,Protein of unknown function (DUF3100),membrane,,,,
PF11303,DUF3105,Protein of unknown function (DUF3105),membrane,,,,
PF11304,DUF3106,Protein of unknown function (DUF3106),membrane,,,,
PF11345,DUF3147,Protein of unknown function (DUF3147),membrane,,,,
PF11350,DUF3152,Protein of unknown function (DUF3152),membrane,,,,
PF11356,T2SSC,Type II secretion system protein C,membrane,,,,
PF11361,DUF3159,Protein of unknown function (DUF3159),membrane,,,,
PF11364,DUF3165,Protein of unknown function (DUF3165),membrane,,,,
PF11368,DUF3169,Protein of unknown function (DUF3169),membrane,,,,
PF11375,DUF3177,Protein of unknown function (DUF3177),membrane,,,,
PF11377,DUF3180,Protein of unknown function (DUF3180),membrane,,,,
PF11381,DUF3185,Protein of unknown function (DUF3185),membrane,,,,
PF11393,T4BSS_DotI_IcmL,"Type-IV b secretion system, inner-membrane complex component",membrane,,,,
PF11416,Syntaxin-5_N,"Syntaxin-5 N-terminal, Sly1p-binding domain",membrane,,,,
PF11433,DUF3198,Protein of unknown function (DUF3198),membrane,,,,
PF11557,Omp_AT,Solitary outer membrane autotransporter beta-barrel domain,membrane,,,,
PF11567,PfUIS3,Plasmodium falciparum UIS3 membrane protein,membrane,,,,
PF11612,T2SSJ,"Type II secretion system (T2SS), protein J",membrane,,,,
PF11614,FixG_C,"IG-like fold at C-terminal of FixG, putative oxidoreductase",membrane,,,,
PF11677,DUF3273,Protein of unknown function (DUF3273),membrane,,,,
PF11710,Git3,G protein-coupled glucose receptor regulating Gpa2,membrane,,,,
PF11711,Tim54,Inner membrane protein import complex subunit Tim54,membrane,,,,
PF11721,Malectin,Malectin domain,membrane,,,,
PF11725,AvrE_T3Es,AvrE-family Type-III effector proteins (T3Es),membrane,,,,
PF11737,DUF3300,Protein of unknown function (DUF3300),membrane,,,,
PF11779,SPT_ssu-like,Small subunit of serine palmitoyltransferase-like,membrane,,,,
PF11801,Tom37_C,Tom37 C-terminal domain,membrane,,,,
PF11839,Alanine_zipper,"Alanine-zipper, major outer membrane lipoprotein",membrane,,,,
PF11846,Wzy_C_2,"Virulence factor membrane-bound polymerase, C-terminal",membrane,,,,
PF11854,MtrB_PioB,"Putative outer membrane beta-barrel porin, MtrB/PioB",membrane,,,,
PF11873,Mltc_N,"Membrane-bound lytic murein transglycosylase C, N-terminal domain",membrane,,,,
PF11886,TOC159_MAD,"Translocase of chloroplast 159/132, membrane anchor domain",membrane,,,,
PF11988,Dsl1_N,Retrograde transport protein Dsl1 N terminal,membrane,,,,
PF11989,Dsl1_C,Retrograde transport protein Dsl1 C terminal,membrane,,,,
PF11992,DUF3488,Domain of unknown function (DUF3488),membrane,,,,
PF12051,DUF3533,Protein of unknown function (DUF3533),membrane,,,,
PF12077,DUF3556,Transmembrane protein of unknown function (DUF3556),membrane,,,,
PF12089,DUF3566,Transmembrane domain of unknown function (DUF3566),membrane,,,,
PF12221,HflK_N,Bacterial membrane protein N terminal,membrane,,,,
PF12234,Rav1p_C,RAVE protein 1 C terminal,membrane,,,,
PF12257,IML1,Vacuolar membrane-associated protein Iml1 ,membrane,,,,
PF12273,RCR,"Chitin synthesis regulation, resistance to Congo red",membrane,,,,
PF12293,T4BSS_DotH_IcmK,Putative outer membrane core complex of type IVb secretion,membrane,,,,
PF12314,IMCp,Inner membrane complex protein,membrane,,,,
PF12318,FAD-SLDH,Membrane bound FAD containing D-sorbitol dehydrogenase ,membrane,,,,
PF12334,rOmpB,Rickettsia outer membrane protein B ,membrane,,,,
PF12400,STIMATE,STIMATE family,membrane,,,,
PF12507,HCMV_UL139,Human Cytomegalovirus UL139 protein,membrane,,,,
PF12624,Chorein_N,N-terminal region of Chorein or VPS13,membrane,,,,
PF12648,TcpE,TcpE family,membrane,,,,
PF12670,DUF3792,Protein of unknown function (DUF3792),membrane,,,,
PF12716,Apq12,Nuclear pore assembly and biogenesis,membrane,,,,
PF12729,4HB_MCP_1,Four helix bundle sensory module for signal transduction,membrane,,,,
PF12734,CYSTM,Cysteine-rich TM module stress tolerance,membrane,,,,
PF12741,SusD-like,Susd and RagB outer membrane lipoprotein ,membrane,,,,
PF12750,Maff2,Maff2 family,membrane,,,,
PF12751,Vac7,Vacuolar segregation subunit 7,membrane,,,,
PF12791,RsgI_N,Anti-sigma factor N-terminus,membrane,,,,
PF12794,MscS_TM,Mechanosensitive ion channel inner membrane domain 1,membrane,,,,
PF12795,MscS_porin,Mechanosensitive ion channel porin domain,membrane,,,,
PF12805,FUSC-like,FUSC-like inner membrane protein yccS,membrane,,,,
PF12816,Vps8,Golgi CORVET complex core vacuolar protein 8,membrane,,,,
PF12821,ThrE_2,"Threonine/Serine exporter, ThrE",membrane,,,,
PF12827,Peroxin-22,Peroxisomal biogenesis protein family,membrane,,,,
PF12911,OppC_N,N-terminal TM domain of oligopeptide transport permease C,membrane,,,,
PF12951,PATR,Passenger-associated-transport-repeat,membrane,,,,
PF12966,AtpR,"N-ATPase, AtpR subunit ",membrane,,,,
PF13018,ESPR,Extended Signal Peptide of Type V secretion system,membrane,,,,
PF13194,DUF4010,Domain of unknown function (DUF4010),membrane,,,,
PF13239,2TM,2TM domain,membrane,,,,
PF13272,Holin_2-3,Putative 2/3 transmembrane domain holin,membrane,,,,
PF13329,ATG2_CAD,Autophagy-related protein 2 CAD motif,membrane,,,,
PF13346,ABC2_membrane_5,ABC-2 family transporter protein,membrane,,,,
PF13402,Peptidase_M60,"Peptidase M60, enhancin and enhancin-like",membrane,,,,
PF13491,FtsK_4TM,4TM region of DNA translocase FtsK/SpoIIIE,membrane,,,,
PF13536,EmrE,Putative multidrug resistance efflux transporter,membrane,,,,
PF13568,OMP_b-brl_2,Outer membrane protein beta-barrel domain,membrane,,,,
PF13584,BatD,Oxygen tolerance,membrane,,,,
PF13593,SBF_like,SBF-like CPA transporter family (DUF4137),membrane,,,,
PF13627,LPAM_2,Prokaryotic lipoprotein-attachment site,membrane,,,,
PF13630,SdpI,SdpI/YhfL protein family,membrane,,,,
PF13644,DKNYY,DKNYY family,membrane,,,,
PF13677,MotB_plug,Membrane MotB of proton-channel complex MotA/MotB ,membrane,,,,
PF13687,DUF4153,Domain of unknown function (DUF4153),membrane,,,,
PF13694,Hph,Sec63/Sec62 complex-interacting family,membrane,,,,
PF13698,DUF4156,Domain of unknown function (DUF4156),membrane,,,,
PF13721,SecD-TM1,SecD export protein N-terminal TM region,membrane,,,,
PF13722,CstA_5TM,5TM C-terminal transporter carbon starvation CstA,membrane,,,,
PF13726,Na_H_antiport_2,Na+-H+ antiporter family,membrane,,,,
PF13753,SWM_repeat,Putative flagellar system-associated repeat,membrane,,,,
PF13755,Sensor_TM1,Sensor N-terminal transmembrane domain,membrane,,,,
PF13777,DUF4173,Domain of unknown function (DUF4173),membrane,,,,
PF13813,MBOAT_2,Membrane bound O-acyl transferase family,membrane,,,,
PF13967,RSN1_TM,"Late exocytosis, associated with Golgi transport ",membrane,,,,
PF14002,YniB,YniB-like protein,membrane,,,,
PF14017,DUF4233,Protein of unknown function (DUF4233),membrane,,,,
PF14019,DUF4235,Protein of unknown function (DUF4235),membrane,,,,
PF14034,Spore_YtrH,Sporulation protein YtrH,membrane,,,,
PF14064,HmuY,HmuY protein,membrane,,,,
PF14068,YuiB,Putative membrane protein,membrane,,,,
PF14079,DUF4260,Domain of unknown function (DUF4260),membrane,,,,
PF14087,DUF4267,Domain of unknown function (DUF4267),membrane,,,,
PF14093,DUF4271,Domain of unknown function (DUF4271),membrane,,,,
PF14121,Porin_10,Putative porin,membrane,,,,
PF14159,CAAD,CAAD domains of cyanobacterial aminoacyl-tRNA synthetase,membrane,,,,
PF14288,FKS1_dom1,"1,3-beta-glucan synthase subunit FKS1, domain-1",membrane,,,,
PF14292,SusE,SusE outer membrane protein,membrane,,,,
PF14317,YcxB,YcxB-like protein,membrane,,,,
PF14400,Transglut_i_TM,Inactive transglutaminase fused to 7 transmembrane helices,membrane,,,,
PF14402,7TM_transglut,7 transmembrane helices usually fused to an inactive transglutaminase,membrane,,,,
PF14494,DUF4436,Domain of unknown function (DUF4436),membrane,,,,
PF14564,Membrane_bind,Membrane binding,membrane,,,,
PF14589,NrfD_2,Polysulfide reductase,membrane,,,,
PF14610,DUF4448,Protein of unknown function (DUF4448),membrane,,,,
PF14667,Polysacc_synt_C,Polysaccharide biosynthesis C-terminal domain,membrane,,,,
PF14703,PHM7_cyt,Cytosolic domain of 10TM putative phosphate transporter,membrane,,,,
PF14724,mit_SMPDase,Mitochondrial-associated sphingomyelin phosphodiesterase,membrane,,,,
PF14770,TMEM18,Transmembrane protein 18,membrane,,,,
PF14870,PSII_BNR,Photosynthesis system II assembly factor YCF48,membrane,,,,
PF14880,COX14,Cytochrome oxidase c assembly,membrane,,,,
PF14934,DUF4499,Domain of unknown function (DUF4499),membrane,,,,
PF14937,DUF4500,Domain of unknown function (DUF4500),membrane,,,,
PF14981,FAM165,FAM165 family,membrane,,,,
PF14992,TMCO5,TMCO5 family,membrane,,,,
PF14995,TMEM107,Transmembrane protein,membrane,,,,
PF14997,CECR6_TMEM121,CECR6/TMEM121 family,membrane,,,,
PF15055,DUF4536,Domain of unknown function (DUF4536),membrane,,,,
PF15071,TMEM220,"Transmembrane family 220, helix",membrane,,,,
PF15312,JSRP,Junctional sarcoplasmic reticulum protein,membrane,,,,
PF15420,Abhydrolase_9_N,Alpha/beta-hydrolase family N-terminus,membrane,,,,
PF15438,Phyto-Amp,Antigenic membrane protein of phytoplasma,membrane,,,,
PF15445,ATS,"acidic terminal segments, variant surface antigen of PfEMP1",membrane,,,,
PF15448,NTS_2,N-terminal segments of P. falciparum erythrocyte membrane protein,membrane,,,,
PF15562,Imm17,Immunity protein 17,membrane,,,,
PF15625,CC2D2AN-C2,CC2D2A N-terminal C2 domain,membrane,,,,
PF15795,Spec3,Ectodermal ciliogenesis protein,membrane,,,,
PF15807,MAP17,"Membrane-associated protein 117 kDa, PDZK1-interacting protein 1 ",membrane,,,,
PF15831,DUF4713,Domain of unknown function (DUF4713),membrane,,,,
PF15871,JMY,Junction-mediating and -regulatory protein,membrane,,,,
PF15941,FidL_like,FidL-like putative membrane protein,membrane,,,,
PF15975,Flot,Flotillin,membrane,,,,
PF15976,CooC_C,CS1-pili formation C-terminal,membrane,,,,
PF15982,TMEM135_C_rich,N-terminal cysteine-rich region of Transmembrane protein 135,membrane,,,,
PF16016,VASt,VAD1 Analog of StAR-related lipid transfer domain,membrane,,,,
PF16074,PilW,Type IV Pilus-assembly protein W,membrane,,,,
PF16079,Phage_holin_5_2,"Phage holin family Hol44, in holin superfamily V",membrane,,,,
PF16080,Phage_holin_2_3,Bacteriophage holin family HP1,membrane,,,,
PF16083,Phage_holin_3_3,"LydA holin phage, holin superfamily III",membrane,,,,
PF16166,TIC20,Chloroplast import apparatus Tic20-like,membrane,,,,
PF16168,AIDA,"Adhesin of bacterial autotransporter system, probable stalk ",membrane,,,,
PF16192,PMT_4TMC,C-terminal four TMM region of protein-O-mannosyltransferase ,membrane,,,,
PF16206,Mon2_C,C-terminal region of Mon2 protein,membrane,,,,
PF16296,TM_PBP2_N,N-terminal of TM subunit in PBP-dependent ABC transporters,membrane,,,,
PF16525,MHB,"Haemophore, haem-binding",membrane,,,,
PF16540,MKLP1_Arf_bdg,Arf6-interacting domain of mitotic kinesin-like protein 1,membrane,,,,
PF16697,Yop-YscD_cpl,"Inner membrane component of T3SS, cytoplasmic domain",membrane,,,,
PF16750,HK_sensor,Sensor domain of 2-component histidine kinase,membrane,,,,
PF16843,Get5_bdg,"Binding domain to Get4 on Get5, Golgi to ER traffic protein ",membrane,,,,
PF16927,HisKA_7TM,N-terminal 7TM region of histidine kinase,membrane,,,,
PF16933,PelG,Putative exopolysaccharide Exporter (EPS-E),membrane,,,,
PF16949,ABC_tran_2,Putative ATP-binding cassette,membrane,,,,
PF16955,OFeT_1,"Ferrous iron uptake permease, iron-lead transporter",membrane,,,,
PF16963,PelD_GGDEF,PelD GGDEF domain,membrane,,,,
PF16967,TcfC,E-set like domain,membrane,,,,
PF16976,RcpC,Flp pilus assembly protein RcpC/CpaB,membrane,,,,
PF16995,tRNA-synt_2_TM,Transmembrane region of lysyl-tRNA synthetase,membrane,,,,
PF17048,Ceramidse_alk_C,"Neutral/alkaline non-lysosomal ceramidase, C-terminal",membrane,,,,
PF17081,SOP4,Suppressor of PMA 1-7 protein,membrane,,,,
PF17090,Ytca,Uncharacterised protein family,membrane,,,,
PF17094,UPF0715,Uncharacterised protein family (UPF0715),membrane,,,,
PF17099,TrpP,Tryptophan transporter TrpP,membrane,,,,
PF17158,MASE4,"Membrane-associated sensor, integral membrane domain",membrane,,,,
PF17159,MASE3,Membrane-associated sensor domain,membrane,,,,
PF17175,MOLO1,Modulator of levamisole receptor-1,membrane,,,,
PF17185,NlpE_C,NlpE C-terminal OB domain,membrane,,,,
PF17234,MPM1,Mitochondrial peculiar membrane protein 1,membrane,,,,
PF17240,DUF5313,Family of unknown function (DUF5313),membrane,,,,
PF17243,POTRA_TamA_1,POTRA domain TamA domain 1,membrane,,,,
PF17248,DUF5317,Family of unknown function (DUF5317),membrane,,,,
PF17251,Pom,Protochlamydia outer membrane protein,membrane,,,,
PF17254,DUF5321,Family of unknown function (DUF5321),membrane,,,,
PF17259,DUF5325,Family of unknown function (DUF5325),membrane,,,,
PF17270,DUF5336,Family of unknown function (DUF5336),membrane,,,,
PF17280,DUF5345,Family of unknown function (DUF5345),membrane,,,,
PF17307,Smim3,Small integral membrane protein 3,membrane,,,,
